siteId,siteName,pnu,jibun,intersectionAreaSqm,built,selectedZones,selectedZoneCount,allocationBasis,allocatedAreaPerZoneSqm
pangyo,판교 도시지원시설용지,4113510900106940002,694-2공,73.175,0,준주거지역,1,included_detailed,73.175
pangyo,판교 도시지원시설용지,4113510900107010001,701-1도,526.732,0,준주거지역,1,included_detailed,526.732
pangyo,판교 도시지원시설용지,4113510900107030001,703-1수,1179.996,0,준주거지역,1,included_detailed,1179.996
pangyo,판교 도시지원시설용지,4113510900106890001,689-1도,281.274,0,준주거지역,1,included_detailed,281.274
pangyo,판교 도시지원시설용지,4113510900106970001,697-1공,799.807,0,준주거지역,1,included_detailed,799.807
pangyo,판교 도시지원시설용지,4113510900106980000,698대,15544.348,1,준주거지역,1,included_detailed,15544.348
pangyo,판교 도시지원시설용지,4113510900106990000,699공,79.939,0,준주거지역,1,included_detailed,79.939
pangyo,판교 도시지원시설용지,4113510900106900000,690대,5044.516,1,준주거지역,1,included_detailed,5044.516
pangyo,판교 도시지원시설용지,4113510900107000000,700대,4604.617,1,준주거지역,1,included_detailed,4604.617
pangyo,판교 도시지원시설용지,4113510900107010000,701대,11817.345,1,준주거지역,1,included_detailed,11817.345
pangyo,판교 도시지원시설용지,4113510900107030000,703공,2064.196,0,준주거지역,1,included_detailed,2064.196
pangyo,판교 도시지원시설용지,4113510900107020000,702대,10023.98,1,준주거지역,1,included_detailed,10023.98
pangyo,판교 도시지원시설용지,4113510900106890000,689대,9196.358,1,준주거지역,1,included_detailed,9196.358
pangyo,판교 도시지원시설용지,4113510900106080000,608공,533.93,0,자연녹지지역,1,included_detailed,533.93
pangyo,판교 도시지원시설용지,4113510900106980001,698-1도,4256.924,0,준주거지역,1,included_detailed,4256.924
pangyo,판교 도시지원시설용지,4113510900106880003,688-3도,3265.322,0,준주거지역,1,included_detailed,3265.322
pangyo,판교 도시지원시설용지,4113510900106900001,690-1도,4.078,0,준주거지역,1,included_detailed,4.078
pangyo,판교 도시지원시설용지,4113510900106920001,692-1도,140.1,0,준주거지역,1,included_detailed,140.1
pangyo,판교 도시지원시설용지,4113510900106930002,693-2도,148.375,0,준주거지역,1,included_detailed,148.375
pangyo,판교 도시지원시설용지,4113510900106940000,694대,2575.925,1,준주거지역,1,included_detailed,2575.925
pangyo,판교 도시지원시설용지,4113510900106930001,693-1대,2415.711,0,준주거지역,1,included_detailed,2415.711
pangyo,판교 도시지원시설용지,4113510900106930000,693대,2532.814,1,준주거지역,1,included_detailed,2532.814
pangyo,판교 도시지원시설용지,4113510900106920000,692대,4037.234,1,준주거지역,1,included_detailed,4037.234
pangyo,판교 도시지원시설용지,4113510900106910000,691차,148.549,1,준주거지역,1,included_detailed,148.549
pangyo,판교 도시지원시설용지,4113510900106940001,694-1대,9707.627,1,준주거지역,1,included_detailed,9707.627
pangyo,판교 도시지원시설용지,4113510900106960002,696-2대,3181.346,0,준주거지역,1,included_detailed,3181.346
pangyo,판교 도시지원시설용지,4113510900106960001,696-1대,7808.571,1,준주거지역,1,included_detailed,7808.571
pangyo,판교 도시지원시설용지,4113510900106960000,696대,13106.104,1,준주거지역,1,included_detailed,13106.104
pangyo,판교 도시지원시설용지,4113510900106710004,671-4도,867.971,0,준주거지역,1,included_detailed,867.971
pangyo,판교 도시지원시설용지,4113510900106700001,670-1도,415.282,0,준주거지역,1,included_detailed,415.282
pangyo,판교 도시지원시설용지,4113510900106850001,685-1도,153.894,0,준주거지역,1,included_detailed,153.894
pangyo,판교 도시지원시설용지,4113510900106830001,683-1도,1955.372,0,준주거지역,1,included_detailed,1955.372
pangyo,판교 도시지원시설용지,4113510900106820001,682-1도,439.224,0,준주거지역,1,included_detailed,439.224
pangyo,판교 도시지원시설용지,4113510900106860001,686-1대,2524.407,1,준주거지역,1,included_detailed,2524.407
pangyo,판교 도시지원시설용지,4113510900106850000,685대,2610.072,1,준주거지역,1,included_detailed,2610.072
pangyo,판교 도시지원시설용지,4113510900106830000,683대,4716.376,1,준주거지역,1,included_detailed,4716.376
pangyo,판교 도시지원시설용지,4113510900106820000,682대,9412.831,1,준주거지역,1,included_detailed,9412.831
pangyo,판교 도시지원시설용지,4113510900106810000,681대,8168.999,1,준주거지역,1,included_detailed,8168.999
pangyo,판교 도시지원시설용지,4113510900106800000,680대,8242.21,1,준주거지역,1,included_detailed,8242.21
pangyo,판교 도시지원시설용지,4113510900106710000,671대,1269.706,1,준주거지역,1,included_detailed,1269.706
pangyo,판교 도시지원시설용지,4113510900106710001,671-1대,1269.841,1,준주거지역,1,included_detailed,1269.841
pangyo,판교 도시지원시설용지,4113510900106710002,671-2대,1269.805,1,준주거지역,1,included_detailed,1269.805
pangyo,판교 도시지원시설용지,4113510900106710003,671-3대,1216.399,1,준주거지역,1,included_detailed,1216.399
pangyo,판교 도시지원시설용지,4113510900106700000,670대,16060.672,1,준주거지역,1,included_detailed,16060.672
pangyo,판교 도시지원시설용지,4113510900106800001,680-1공,1916.102,0,준주거지역,1,included_detailed,1916.102
