siteId,siteName,pnu,jibun,parcelAreaSqm,buildingCount,grossFloorAreaSqm,floorAreaForFarSqm,parcelFarPercent,built
pangyo,판교 도시지원시설용지,4113510900106080000,608공,533.93,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106100000,610대,3567.878,1,21915.24,12611.64,353.477,1
pangyo,판교 도시지원시설용지,4113510900106100001,610-1대,4909.486,1,22640.62,15195.12,309.505,1
pangyo,판교 도시지원시설용지,4113510900106100002,610-2도,584.196,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106110000,611대,5621.161,1,67024.1,36337.7,646.445,1
pangyo,판교 도시지원시설용지,4113510900106110001,611-1대,3509.575,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106110002,611-2대,1907.772,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106110003,611-3 공,2554.377,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106120000,612대,2039.997,3,45576.63,23211.02,1137.797,1
pangyo,판교 도시지원시설용지,4113510900106120001,612-1대,2121.166,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106120002,612-2대,2151.733,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106120003,612-3대,2228.677,1,15459.22,8103.7,363.61,1
pangyo,판교 도시지원시설용지,4113510900106120004,612-4대,2226.084,1,13353.69,7580.79,340.544,1
pangyo,판교 도시지원시설용지,4113510900106130000,613대,6623.112,1,54674.95,31142.96,470.216,1
pangyo,판교 도시지원시설용지,4113510900106130001,613-1도,638.721,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106150000,615대,6694.825,1,57460.52,29664.97,443.103,1
pangyo,판교 도시지원시설용지,4113510900106150001,615-1도,1557.945,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106160000,616대,2464.193,1,16536.74,9133.9,370.665,1
pangyo,판교 도시지원시설용지,4113510900106160001,616-1대,2537.45,1,15449.55,8805.87,347.036,1
pangyo,판교 도시지원시설용지,4113510900106170001,617-1도,1178.259,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106180000,618대,8910.378,1,62444.11,39895.64,447.744,1
pangyo,판교 도시지원시설용지,4113510900106180001,618-1도,783.314,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106190000,619대,7721.889,1,56931.5,36254.7,469.506,1
pangyo,판교 도시지원시설용지,4113510900106220000,622대,12210.322,3,84112.54,33293.07,272.663,1
pangyo,판교 도시지원시설용지,4113510900106230000,623대,2355.101,1,49679.1,30297.68,1286.47,1
pangyo,판교 도시지원시설용지,4113510900106230003,623-3공,1594.612,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106230005,623-5천,1258.182,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106240000,624대,1777.963,1,79735.51,52670.52,2962.408,1
pangyo,판교 도시지원시설용지,4113510900106240001,624-1대,1663.315,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106240002,624-2대,1653.181,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106240003,624-3대,1643.632,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106240004,624-4대,1634.692,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106240005,624-5대,1876.739,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106240007,624-7도,753.045,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106250000,625대,12184.231,5,67379.14,43942.9,360.654,1
pangyo,판교 도시지원시설용지,4113510900106260001,626-1도,534.791,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106270000,627대,7902.573,1,65400.37,38276.69,484.357,1
pangyo,판교 도시지원시설용지,4113510900106280000,628공,1156.808,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106290000,629대,15522.489,3,133077.12,71517.82,460.737,1
pangyo,판교 도시지원시설용지,4113510900106300000,630대,4452.603,1,39083.47,21739.09,488.233,1
pangyo,판교 도시지원시설용지,4113510900106300001,630-1도,817.577,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106310000,631대,7692.368,3,50260.15,26785.9,348.214,1
pangyo,판교 도시지원시설용지,4113510900106330000,633대,5662.281,4,35785.03,23153.66,408.911,1
pangyo,판교 도시지원시설용지,4113510900106680000,668대,3244.963,1,88971.94,48760.79,1502.661,1
pangyo,판교 도시지원시설용지,4113510900106680005,668-5대,3443.034,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106680006,668-6대,3634.89,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106700000,670대,16060.672,1,136465.53,77636.63,483.396,1
pangyo,판교 도시지원시설용지,4113510900106710000,671대,1269.706,1,9959.86,4801.25,378.139,1
pangyo,판교 도시지원시설용지,4113510900106710001,671-1대,1269.841,1,9246.2,4765.93,375.317,1
pangyo,판교 도시지원시설용지,4113510900106710002,671-2대,1269.805,1,7126.32,4442.64,349.868,1
pangyo,판교 도시지원시설용지,4113510900106710003,671-3대,1216.399,1,11743.35,5464.27,449.217,1
pangyo,판교 도시지원시설용지,4113510900106710004,671-4도,867.971,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106720000,672대,1238.26,3,60547.51,30207.28,2439.494,1
pangyo,판교 도시지원시설용지,4113510900106720001,672-1대,1458.989,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106720002,672-2대,1242.343,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106720003,672-3대,1455.989,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106720004,672-4대,1139.882,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106720005,672-5대,1274.471,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106730000,673대,9593.575,2,70426.5,36793.86,383.526,1
pangyo,판교 도시지원시설용지,4113510900106760000,676대,10714.289,4,91091.53,51786.85,483.344,1
pangyo,판교 도시지원시설용지,4113510900106780000,678대,5711.719,1,51370.23,30031.25,525.783,1
pangyo,판교 도시지원시설용지,4113510900106790000,679대,5560.782,1,48842.95,29567.29,531.711,1
pangyo,판교 도시지원시설용지,4113510900106800000,680대,8242.21,1,68473.71,42541.91,516.147,1
pangyo,판교 도시지원시설용지,4113510900106810000,681대,8168.999,1,70324.88,43328.17,530.398,1
pangyo,판교 도시지원시설용지,4113510900106820000,682대,9412.831,1,83638.9,48099.29,510.997,1
pangyo,판교 도시지원시설용지,4113510900106820001,682-1도,439.224,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106830000,683대,4716.376,1,47919.42,22912.36,485.804,1
pangyo,판교 도시지원시설용지,4113510900106830001,683-1도,1955.372,0,0,0,0,0
