pnu,managementPk,siteAddress,roadAddress,mainUse,grossFloorAreaSqm,approvalDate,approvalYear,parcelJibun,centroidLon,centroidLat
4163011400109870001,11261100311655,경기도 양주시 옥정동 987-1번지,경기도 양주시 화합로1710번길 12 (옥정동),공장,75816.9052,20220727,2022,987-1 대,127.095408265507,37.83860524140544
4163011400110040003,1000000000000003174011,경기도 양주시 옥정동 1004-3번지,경기도 양주시 화합로1710번길 76 (옥정동),공장,39094.27,20240202,2024,1004-3대,127.0966379218562,37.835990236744
4163011400110060001,1000000000000003322913,경기도 양주시 옥정동 1006-1번지,경기도 양주시 화합로1710번길 35 (옥정동),공장,57144.1592,20240304,2024,1006-1 대,127.09786730020095,37.83747406137292
4163011400110070001,1000000000000004068169,경기도 양주시 옥정동 1007-1번지,경기도 양주시 율정로 20 (옥정동),공장,58960.94,20240719,2024,1007-1대,127.09859374117556,37.83856913024454
4163011400110070004,1000000000000004224567,경기도 양주시 옥정동 1007-4번지,경기도 양주시 화합로1710번길 71 (옥정동),공장,36972.2854,20240823,2024,1007-4대,127.09746548552782,37.83645058111663
4163011400110240006,1000000000000003747228,경기도 양주시 옥정동 1024-6번지,경기도 양주시 화합로1710번길 177-19 (옥정동),공장,30741.07,20240524,2024,1024-6대,127.1018542914976,37.833200848342294
4163011400110250002,11261100226189,경기도 양주시 옥정동 1025-2번지,경기도 양주시 화합로1710번길 177-16 (옥정동),자동차관련시설,319.68,20150604,2015,1025-2잡,127.10113159562445,37.832457844830756
4163011500105930001,1000000000000007041700,경기도 양주시 고암동 593-1번지,경기도 양주시 화합로 1544 (고암동),창고시설,17.16,20260205,2026,593-1 창,127.07814887072794,37.83650853075851
4163011500105930001,1000000000000007041698,경기도 양주시 고암동 593-1번지,경기도 양주시 화합로 1544 (고암동),창고시설,173943.11,20260205,2026,593-1 창,127.07814887072794,37.83650853075851
4163011500105930001,1000000000000007041699,경기도 양주시 고암동 593-1번지,경기도 양주시 화합로 1544 (고암동),창고시설,33.6,20260205,2026,593-1 창,127.07814887072794,37.83650853075851
