pnu,managementPk,siteAddress,roadAddress,mainUse,grossFloorAreaSqm,approvalDate,approvalYear,parcelJibun,centroidLon,centroidLat
4113510900106100000,10891100244883,경기도 성남시 분당구 삼평동 610번지,경기도 성남시 분당구 판교로255번길 62 (삼평동),업무시설,21915.24,20140113,2014,610대,127.09747654908597,37.40444831029888
4113510900106100001,10891100245323,경기도 성남시 분당구 삼평동 610-1번지,경기도 성남시 분당구 판교로255번길 58 (삼평동),업무시설,22640.62,20140203,2014,610-1대,127.09753655105783,37.40516567009746
4113510900106110000,10891100247303,경기도 성남시 분당구 삼평동 611번지,경기도 성남시 분당구 판교로255번길 46 (삼평동),업무시설,67024.1,20140624,2014,611대,127.09789600036505,37.40600572748176
4113510900106120000,10891100241685,경기도 성남시 분당구 삼평동 612번지,경기도 성남시 분당구 판교로255번길 24 (삼평동),업무시설,14398.74,20130923,2013,612대,127.10142821065541,37.40486202775001
4113510900106120000,10891100241686,경기도 성남시 분당구 삼평동 612번지,경기도 성남시 분당구 판교로255번길 20 (삼평동),업무시설,14269.71,20130923,2013,612대,127.10142821065541,37.40486202775001
4113510900106120000,10891100241684,경기도 성남시 분당구 삼평동 612번지,경기도 성남시 분당구 판교로255번길 28 (삼평동),업무시설,16908.18,20130923,2013,612대,127.10142821065541,37.40486202775001
4113510900106120003,10891100233377,경기도 성남시 분당구 삼평동 612-3번지,경기도 성남시 분당구 판교로255번길 34 (삼평동),교육연구시설,15459.22,20120828,2012,612-3대,127.10020062374899,37.40549019513738
4113510900106120004,10891100247226,경기도 성남시 분당구 삼평동 612-4번지,경기도 성남시 분당구 판교로255번길 38 (삼평동),업무시설,13353.69,20140618,2014,612-4대,127.09983330686694,37.40594051808823
4113510900106130000,10891100232656,경기도 성남시 분당구 삼평동 613번지,경기도 성남시 분당구 판교로255번길 35 (삼평동),교육연구시설,54674.95,20120625,2012,613대,127.09957633023714,37.40505324933032
4113510900106150000,10891100249223,경기도 성남시 분당구 삼평동 615번지,경기도 성남시 분당구 판교로227번길 23 (삼평동),교육연구시설,57460.52,20141016,2014,615대,127.09887033135298,37.40427292158988
4113510900106160000,10891100243557,경기도 성남시 분당구 삼평동 616번지,경기도 성남시 분당구 판교로255번길 68 (삼평동),업무시설,16536.74,20131212,2013,616대,127.09791678288315,37.40383791695684
4113510900106160001,10891100238425,경기도 성남시 분당구 삼평동 616-1번지,경기도 성남시 분당구 판교로255번길 74 (삼평동),교육연구시설,15449.55,20130307,2013,616-1대,127.09839396675028,37.40352074791077
4113510900106180000,10891100228837,경기도 성남시 분당구 삼평동 618번지,경기도 성남시 분당구 판교로255번길 9-22 (삼평동),교육연구시설,62444.11,20111222,2011,618대,127.09984158577353,37.40363462426937
4113510900106190000,10891100233216,경기도 성남시 분당구 삼평동 619번지,경기도 성남시 분당구 판교로255번길 21 (삼평동),교육연구시설,56931.5,20120809,2012,619대,127.10050916766288,37.40449753431042
4113510900106220000,10891100222954,경기도 성남시 분당구 삼평동 622번지,경기도 성남시 분당구 판교로 255 (삼평동),업무시설,27942.48,20110329,2011,622대,127.10274671168442,37.40388161603318
4113510900106220000,10891100222981,경기도 성남시 분당구 삼평동 622번지,경기도 성남시 분당구 판교로 255 (삼평동),업무시설,14670.69,20110329,2011,622대,127.10274671168442,37.40388161603318
4113510900106220000,10891100222943,경기도 성남시 분당구 삼평동 622번지,경기도 성남시 분당구 판교로 255 (삼평동),업무시설,41499.37,20110329,2011,622대,127.10274671168442,37.40388161603318
4113510900106230000,10891100242427,경기도 성남시 분당구 삼평동 623번지,경기도 성남시 분당구 판교로 264 (삼평동),업무시설,49679.1,20131008,2013,623대,127.10293114428649,37.40266124416318
