minute,reachablePopulation,reachableWorkers
0,1255,101
1,1255,101
2,1255,101
3,1255,101
4,7482,128
5,13704,387
6,13704,387
7,16882,489
8,16882,489
9,16882,489
10,19678,612
11,23347,679
12,25080,719
13,33027,1202
14,33027,1202
15,33134,1202
16,40202,2500
17,40202,2500
18,40202,2500
19,51275,3003
20,51275,3003
21,58769,3214
22,58769,3214
23,58769,3214
24,65981,3399
25,65981,3399
26,91354,4748
27,94062,5177
28,105004,7797
29,108311,8001
30,123395,8995
31,123395,8995
32,145240,9657
33,153559,10127
34,153559,10127
35,184978,10854
36,188915,11118
37,207540,12099
38,238822,13160
39,241717,13244
40,285381,16035
41,305125,17279
42,318491,17949
43,346996,20381
44,364876,21433
45,387073,22444
46,401378,23149
47,411513,23616
48,425979,24352
49,455709,26182
50,474793,27560
51,507917,29300
52,524882,29844
53,562135,31965
54,578336,33934
55,599725,35229
56,622531,36272
57,652574,37361
58,683085,41195
59,699691,43429
60,716182,43975
