minute,reachablePopulation,reachableWorkers
0,6209,515
1,6209,515
2,13242,710
3,13242,710
4,24205,2527
5,24205,2527
6,34385,3634
7,36749,3850
8,36749,3850
9,43919,4280
10,49394,5504
11,49394,5504
12,77018,10777
13,84130,13743
14,92348,20794
15,114048,23663
16,125791,26959
17,146799,30789
18,161665,34158
19,167314,34246
20,167314,34246
21,196723,40582
22,197310,40735
23,243567,48730
24,280694,53820
25,298878,61930
26,346914,64792
27,354385,68781
28,424503,76891
29,459517,80924
30,515322,85037
31,574303,90226
32,588910,91492
33,627172,111622
34,662180,112813
35,702789,115689
36,751229,121689
37,828738,129174
38,874884,135595
39,954781,139439
40,972886,141014
41,1054611,148758
42,1129155,154983
43,1166472,157457
44,1276966,179947
45,1317989,211485
46,1487427,226194
47,1572811,229674
48,1668589,239473
49,1745205,246294
50,1878268,253716
51,1934043,259171
52,2018914,264943
53,2087965,269514
54,2171268,273298
55,2261554,280423
56,2314980,282322
57,2451070,292170
58,2530390,295775
59,2610009,302122
60,2680668,310143
